eruptionID,year,waiting_min,dur
24452,1970,64.0,4.0
24453,1970,72.0,4.25
24454,1970,52.0,2.5
24455,1970,77.0,4.5
24456,1970,41.0,1.75
24462,1970,77.0,3.0
24463,1970,59.0,3.0
24464,1970,69.0,3.0
24465,1970,64.0,3.0
24466,1970,69.0,4.0
24467,1970,70.0,4.0
24468,1970,66.0,3.0
24469,1970,77.0,4.0
24470,1970,51.0,2.0
24471,1970,85.0,4.75
24472,1970,68.0,4.0
24480,1970,75.0,3.5
24481,1970,51.0,2.25
24482,1970,77.0,3.5
24483,1970,47.0,1.75
24484,1970,83.0,4.5
24485,1970,73.0,3.5
24486,1970,45.0,1.5
24487,1970,71.0,3.25
24488,1970,51.0,2.25
24489,1970,77.0,4.25
24490,1970,48.0,2.0
24491,1970,75.0,3.5
24504,1970,51.0,2.0
24505,1970,78.0,4.25
24506,1970,69.0,4.0
24507,1970,54.0,2.0
24508,1970,69.0,4.25
24509,1970,75.0,3.75
24510,1970,66.0,3.0
24511,1970,71.0,4.0
24512,1970,71.0,3.0
24513,1970,71.0,3.75
24514,1970,46.0,1.5
24522,1970,43.0,1.5
24523,1970,68.0,4.0
24524,1970,50.0,2.25
24525,1970,75.0,4.5
24526,1970,48.0,2.0
24527,1970,75.0,4.5
24528,1970,56.0,2.0
24529,1970,76.0,4.5
24530,1970,67.0,4.25
24531,1970,73.0,3.25
24532,1970,47.0,2.0
24533,1970,74.0,3.5
24564,1970,53.0,2.5
24565,1970,71.0,3.75
24566,1970,77.0,4.5
24567,1970,68.0,4.75
24568,1970,41.0,2.0
24569,1970,79.0,4.0
24570,1970,48.0,2.0
24571,1970,82.0,4.5
24572,1970,42.0,2.0
24573,1970,72.0,3.5
24574,1970,54.0,2.5
24582,1970,71.0,4.0
24583,1970,46.0,2.0
24584,1970,79.0,4.0
24585,1970,71.0,2.5
24586,1970,78.0,4.25
24587,1970,49.0,1.5
24589,1970,48.0,1.75
24590,1970,71.0,4.25
24591,1970,61.0,3.5
24592,1970,68.0,3.5
24593,1970,49.0,3.0
24603,1970,58.0,3.25
24604,1970,74.0,4.25
24605,1970,48.0,2.0
24606,1970,42.0,4.0
24609,1970,29.0,2.0
24607,1970,78.0,3.75
24608,1970,123.0,3.75
24610,1970,70.0,4.5
24611,1970,53.0,2.0
24612,1970,76.0,4.0
24613,1970,53.0,2.25
24620,1970,39.0,1.75
24621,1970,72.0,3.5
24622,1970,52.0,1.5
24623,1970,69.0,3.5
24624,1970,52.0,2.5
24625,1970,80.0,4.75
24626,1970,45.0,1.75
24627,1970,82.0,4.5
24628,1970,43.0,2.0
24629,1970,77.0,4.0
24630,1970,43.0,2.0
24631,1970,80.0,4.0
24637,1970,39.0,1.5
24638,1970,71.0,3.5
24639,1970,57.0,3.0
24640,1970,68.0,4.0
24641,1970,54.0,2.0
24642,1970,75.0,4.0
24643,1970,43.0,1.5
24644,1970,84.0,3.0
24645,1970,51.0,2.0
24646,1970,44.0,1.75
24647,1970,75.0,4.5
24648,1970,59.0,2.0
24655,1970,48.0,2.75
24656,1970,77.0,3.0
24657,1970,51.0,2.0
24658,1970,78.0,4.5
24659,1970,50.0,1.5
24660,1970,70.0,4.0
24661,1970,54.0,1.75
24662,1970,79.0,4.5
24663,1970,43.0,1.5
24664,1970,72.0,4.0
24665,1970,60.0,2.75
24666,1970,48.0,2.0
24673,1970,48.0,2.0
24674,1970,71.0,4.5
24675,1970,48.0,2.0
24676,1970,70.0,3.5
24677,1970,52.0,1.75
24678,1970,71.0,4.0
24679,1970,63.0,2.5
24680,1970,79.0,3.75
24681,1970,41.0,2.0
24682,1970,77.0,4.0
24683,1970,57.0,2.75
24695,1970,44.0,2.25
24696,1970,89.0,4.25
24697,1970,40.0,2.0
24698,1970,80.0,4.5
24699,1970,46.0,2.0
24700,1970,78.0,3.75
24701,1970,44.0,1.75
24702,1970,74.0,4.0
24703,1970,45.0,2.0
24704,1970,78.0,4.0
24705,1970,45.0,1.5
24713,1970,74.0,4.75
24714,1970,49.0,2.5
24715,1970,83.0,4.0
24716,1970,44.0,1.5
24717,1970,74.0,4.5
24718,1970,60.0,1.5
24719,1970,68.0,4.0
24720,1970,49.0,1.5
24721,1970,77.0,4.0
24722,1970,46.0,1.75
24723,1970,74.0,4.5
24724,1970,10.0,3.5
24733,1970,45.0,2.0
24734,1970,85.0,4.25
24735,1970,41.0,2.0
24736,1970,79.0,3.5
24737,1970,42.0,1.75
24739,1970,51.0,2.0
24740,1970,64.0,4.0
24741,1970,58.0,2.0
24742,1970,90.0,4.25
24743,1970,34.0,2.25
24744,1970,77.0,4.5
24754,1970,73.0,3.0
24755,1970,54.0,2.0
24756,1970,66.0,3.5
24757,1970,59.0,2.0
24758,1970,72.0,4.0
24759,1970,43.0,1.75
24760,1970,76.0,4.0
24761,1970,56.0,2.75
24762,1970,82.0,4.0
24763,1970,44.0,1.5
24764,1970,76.0,4.0
24765,1970,55.0,1.5
24773,1970,40.0,1.5
24774,1970,78.0,4.0
24775,1970,57.0,1.5
24776,1970,72.0,4.0
24777,1970,46.0,2.0
24778,1970,85.0,4.0
24779,1970,47.0,1.5
24780,1970,45.0,1.5
24781,1970,72.0,4.0
24782,1970,48.0,2.25
24783,1970,73.0,4.0
24784,1970,44.0,2.0
24792,1970,49.0,2.5
24793,1970,74.0,4.0
24794,1970,48.0,2.0
24795,1970,86.0,3.25
24796,1970,40.0,1.5
24797,1970,81.0,3.75
24798,1970,43.0,2.0
24799,1970,76.0,4.25
24800,1970,49.0,2.25
24801,1970,73.0,4.5
24802,1970,65.0,4.0
24803,1970,67.0,3.75
24815,1970,44.0,1.75
24816,1970,75.0,4.5
24817,1970,54.0,2.5
24818,1970,69.0,4.25
24819,1970,71.0,4.0
24820,1970,46.0,1.75
24821,1970,81.0,4.75
24822,1970,39.0,1.75
24823,1970,79.0,4.5
24824,1970,56.0,2.0
24825,1970,75.0,4.5
24826,1970,46.0,1.5
24827,1970,163.0,1.75
24836,1970,53.0,1.75
24837,1970,73.0,4.5
24838,1970,55.0,1.75
24839,1970,80.0,4.5
24840,1970,46.0,1.5
24841,1970,73.0,4.5
24842,1970,47.0,2.25
24843,1970,83.0,4.25
24844,1970,51.0,1.75
24845,1970,76.0,4.5
24846,1970,47.0,2.0
24853,1970,66.0,2.0
24854,1970,71.0,3.75
24855,1970,70.0,3.5
24856,1970,56.0,2.0
24857,1970,79.0,4.0
24858,1970,43.0,2.0
24859,1970,45.0,2.5
24860,1970,74.0,4.5
24861,1970,56.0,2.0
24862,1970,79.0,4.5
24863,1970,39.0,2.0
24864,1970,80.0,4.0
24872,1970,80.0,4.0
24873,1970,46.0,2.25
24874,1970,76.0,4.5
24875,1970,45.0,2.0
24876,1970,73.0,4.5
24877,1970,56.0,2.0
24878,1970,70.0,4.5
24879,1970,63.0,3.5
24880,1970,73.0,4.25
24881,1970,45.0,2.0
24882,1970,68.0,4.0
24883,1970,72.0,3.75
24892,1970,54.0,1.75
24893,1970,76.0,4.25
24894,1970,42.0,2.0
24895,1970,79.0,4.25
24896,1970,46.0,2.0
24897,1970,84.0,4.25
24898,1970,46.0,2.0
