eruptionID,year,waiting_min,dur
1096310,1993,86.0,4.35
1096311,1993,53.0,1.53
1096312,1993,94.0,4.31
1096313,1993,49.0,1.57
1096314,1993,83.0,4.22
1096316,1993,57.0,1.54
1096317,1993,91.0,4.48
1096318,1993,56.0,1.45
1096319,1993,91.0,4.44
1096320,1993,55.0,1.42
1096321,1993,86.0,4.48
1096324,1993,86.0,4.2
1096325,1993,51.0,1.57
1096326,1993,96.0,4.28
1096327,1993,55.0,1.43
1096328,1993,93.0,4.36
1096329,1993,55.0,1.51
1096330,1993,97.0,4.45
1096331,1993,49.0,1.5
1096333,1993,88.0,4.0
1096334,1993,52.0,1.52
1096335,1993,94.0,4.45
1096336,1993,59.0,1.44
1096337,1993,90.0,4.48
1096338,1993,62.0,2.0
1096339,1993,96.0,4.37
1096341,1993,66.0,2.05
1096342,1993,93.0,4.24
1096343,1993,61.0,2.01
1096344,1993,93.0,4.28
1096345,1993,70.0,1.38
1096347,1993,83.0,4.35
1096348,1993,66.0,2.17
1096349,1993,97.0,4.26
1096350,1993,57.0,1.52
1096351,1993,97.0,4.21
1096352,1993,53.0,1.49
1096355,1993,60.0,1.55
1096356,1993,81.0,4.29
1096357,1993,92.0,3.43
1096358,1993,82.0,4.15
1096359,1993,60.0,1.43
1096362,1993,49.0,1.43
1096363,1993,87.0,4.34
1096364,1993,69.0,2.39
1096365,1993,77.0,4.22
1096366,1993,86.0,4.12
1096367,1993,54.0,2.11
1096369,1993,96.0,4.46
1096370,1993,44.0,2.0
1096371,1993,93.0,4.3
1096372,1993,63.0,1.56
1096373,1993,84.0,4.35
1096376,1993,93.0,4.29
1096377,1993,59.0,1.49
1096378,1993,98.0,4.25
1096379,1993,70.0,3.45
1096380,1993,60.0,2.04
1096381,1993,94.0,4.43
1096384,1993,84.0,4.43
1096385,1993,58.0,1.47
1096386,1993,83.0,4.28
1096387,1993,80.0,3.51
1096388,1993,95.0,4.11
1096389,1993,92.0,4.07
1096392,1993,82.0,3.53
1096393,1993,78.0,4.08
1096394,1993,73.0,3.52
1096395,1993,87.0,3.48
1096396,1993,82.0,4.26
1096397,1993,54.0,1.49
1096401,1993,78.0,4.28
1096402,1993,84.0,4.03
1096403,1993,61.0,2.19
1096404,1993,82.0,4.26
1096405,1993,85.0,3.42
1096406,1993,86.0,4.01
1096408,1993,78.0,4.05
1096409,1993,91.0,3.48
1096410,1993,88.0,4.16
1096411,1993,75.0,4.17
1096412,1993,55.0,1.5
1096413,1993,88.0,4.27
1096415,1993,91.0,4.45
1096416,1993,55.0,1.4
1096417,1993,81.0,4.26
1096418,1993,66.0,2.21
1096419,1993,89.0,4.51
1096420,1993,63.0,2.01
1096423,1993,78.0,4.02
1096424,1993,79.0,4.31
1096425,1993,77.0,3.34
1096426,1993,80.0,4.25
1096427,1993,63.0,1.22
1096428,1993,89.0,4.44
1096431,1993,91.0,4.24
1096432,1993,66.0,1.54
1096433,1993,89.0,4.38
1096434,1993,61.0,2.0
1096435,1993,94.0,4.38
1096438,1993,54.0,1.57
1096439,1993,91.0,4.36
1096440,1993,72.0,3.37
1096441,1993,88.0,4.01
1096442,1993,57.0,2.06
1096445,1993,69.0,2.3
1096446,1993,83.0,4.18
1096447,1993,54.0,1.5
1096448,1993,95.0,4.48
1096449,1993,54.0,1.54
1096450,1993,84.0,4.3
1096451,1993,79.0,3.2
1096453,1993,68.0,3.2
1096455,1993,77.0,4.1
1096456,1993,56.0,2.14
1096457,1993,89.0,4.13
1096458,1993,80.0,4.03
1096459,1993,93.0,4.07
1096460,1993,89.0,4.16
1096465,1993,55.0,1.45
1096466,1993,85.0,4.53
1096467,1993,68.0,2.07
1096468,1993,91.0,4.38
1096469,1993,77.0,3.34
1096470,1993,53.0,1.49
1096472,1993,99.0,4.28
1096473,1993,84.0,4.22
1096474,1993,91.0,4.11
1096475,1993,87.0,4.16
1096476,1993,58.0,2.01
1096477,1993,93.0,4.35
