eruptionID,waiting_min,dur,labels
1096524,90.0,4.49,0
1096525,53.0,1.4,1
1096526,88.0,4.28,0
1096527,45.0,1.56,1
1096533,84.0,4.36,0
1096534,57.0,2.04,1
1096535,96.0,4.21,0
1096537,110.0,4.2,0
1096538,57.0,4.15,0
1099056,84.0,4.52,0
1099057,65.0,2.59,1
1099058,92.0,4.43,0
1099059,71.0,2.16,1
1099060,91.0,4.38,0
1099061,64.0,1.48,1
1099063,89.0,4.17,0
1099064,56.0,2.25,1
1099065,99.0,4.53,0
1099066,81.0,3.36,0
1099067,76.0,4.25,0
1099069,53.0,1.42,1
1099071,84.0,4.09,0
1099072,56.0,2.09,1
1099073,84.0,5.04,0
1099074,62.0,1.54,1
1099075,105.0,4.42,0
1099076,50.0,1.59,1
1099077,87.0,4.44,0
1099080,76.0,4.05,0
1099081,85.0,4.05,0
1099082,82.0,3.44,0
1099083,83.0,4.15,0
1099084,91.0,4.08,0
1099086,75.0,3.32,0
1099087,95.0,4.03,0
1099088,75.0,4.12,0
1099089,91.0,4.1,0
1099090,95.0,3.43,0
1099094,86.0,4.42,0
1099095,74.0,3.15,0
1099096,92.0,4.26,0
1099097,86.0,3.56,0
1099098,78.0,3.58,0
1099099,56.0,1.47,1
1099100,96.0,4.32,0
1099102,96.0,4.12,0
1099103,82.0,3.27,0
1099104,88.0,4.34,0
1099105,85.0,3.35,0
1099106,80.0,4.25,0
1099107,58.0,1.58,1
1099108,97.0,4.4,0
1099109,93.0,3.39,0
1099110,82.0,4.03,0
1099113,64.0,1.47,1
1099114,95.0,4.58,0
1099115,65.0,1.54,1
1099116,83.0,4.38,0
1099117,89.0,3.59,0
1099118,85.0,4.16,0
1099119,53.0,1.5,1
1099120,92.0,5.11,0
1099121,51.0,2.04,1
1099122,98.0,4.14,0
1099124,62.0,2.03,1
1099125,86.0,4.3,0
1099126,64.0,2.07,1
1099127,90.0,4.21,0
1099128,63.0,1.45,1
1099129,84.0,4.35,0
1099130,81.0,4.12,0
1099131,74.0,3.51,0
1099132,58.0,2.32,1
1099134,58.0,2.04,1
1099135,88.0,4.45,0
1099136,70.0,2.02,1
1099137,85.0,4.3,0
1099138,63.0,1.44,1
1099139,92.0,4.3,0
1099140,60.0,1.57,1
1099141,86.0,4.21,0
1099142,51.0,1.5,1
1099144,90.0,4.53,0
1099145,60.0,1.44,1
1099146,88.0,4.3,0
1099147,71.0,2.32,1
1099148,90.0,4.32,0
1099149,57.0,2.06,1
1099150,96.0,4.3,0
1099151,81.0,4.01,0
1099152,86.0,4.28,0
1099155,68.0,2.0,1
1099156,94.0,4.26,0
1099157,66.0,2.02,1
1099158,97.0,4.34,0
1099159,58.0,1.52,1
1099160,85.0,4.17,0
1099161,66.0,2.15,1
1099162,86.0,4.25,0
1099163,75.0,2.11,1
1099164,80.0,4.28,0
1099167,63.0,1.56,1
1099168,91.0,4.26,0
1099169,60.0,2.07,1
1099170,90.0,4.28,0
1099171,58.0,2.25,1
1099172,85.0,4.4,0
1099173,58.0,1.28,1
1099174,89.0,4.4,0
1099175,49.0,1.43,1
1099176,97.0,4.37,0
1099177,61.0,1.47,1
1099178,71.0,4.36,0
1099180,57.0,2.17,1
1099181,92.0,4.2,0
1099182,90.0,4.05,0
1099183,80.0,4.1,0
1099184,69.0,2.22,1
1099185,86.0,5.0,0
1099186,70.0,2.36,1
1099187,83.0,4.16,0
1099188,83.0,3.48,0
1099190,87.0,4.18,0
1099191,79.0,3.58,0
1099192,83.0,4.2,0
1099193,81.0,3.49,0
1099194,53.0,1.57,1
1099196,90.0,4.45,0
1099197,60.0,1.43,1
1099198,91.0,4.35,0
1099204,67.0,2.39,1
1099205,81.0,4.45,0
1099206,86.0,4.05,0
1099207,84.0,4.07,0
1099208,50.0,1.45,1
1099209,93.0,4.34,0
1099210,54.0,1.48,1
1099211,105.0,4.4,0
1099212,51.0,2.03,1
1099216,80.0,3.52,0
1099217,91.0,4.16,0
1099218,53.0,1.55,1
1099219,84.0,4.4,0
1099220,85.0,3.55,0
1099221,89.0,3.59,0
1099222,89.0,4.31,0
1099223,87.0,4.19,0
1099224,58.0,1.52,1
1099225,80.0,4.27,0
1099229,92.0,4.0,0
1099230,94.0,4.15,0
1099231,79.0,4.12,0
1099232,59.0,2.01,1
1099233,82.0,4.16,0
1099234,76.0,4.11,0
1099235,76.0,3.57,0
1099236,75.0,3.15,0
1099237,53.0,1.51,1
1099238,85.0,4.28,0
1099239,70.0,2.07,1
1099241,68.0,2.23,1
1099243,58.0,3.45,0
1099244,84.0,4.3,0
1099245,57.0,1.38,1
1099246,89.0,4.23,0
1099247,59.0,1.52,1
1099248,85.0,4.24,0
1099249,82.0,3.38,0
1099250,80.0,3.51,0
1099251,86.0,4.1,0
1099252,83.0,4.03,0
1099253,59.0,1.53,1
1099257,80.0,4.07,0
1099258,81.0,3.47,0
1099259,70.0,1.48,1
1099260,85.0,4.3,0
1099261,79.0,3.54,0
