eruptionID,waiting_min,dur,labels
25157,68.0,3.0,1
25158,47.0,2.5,0
25159,80.0,4.0,1
25160,50.0,2.0,0
25161,77.0,4.0,1
25169,70.0,4.5,1
25170,45.0,1.5,0
25171,75.0,4.5,1
25172,46.0,1.75,0
25173,81.0,4.0,1
25174,45.0,1.75,0
25175,72.0,4.0,1
25176,48.0,1.75,0
25177,77.0,3.75,1
25178,47.0,1.0,0
25179,77.0,4.0,1
25180,48.0,1.75,0
25188,44.0,2.5,0
25189,77.0,3.0,1
25190,54.0,1.75,0
25191,74.0,3.75,1
25192,45.0,1.75,0
25193,77.0,4.25,1
25194,74.0,3.5,1
25195,75.0,4.0,1
25196,41.0,1.75,0
25197,77.0,4.25,1
25198,51.0,2.0,0
25206,57.0,2.25,0
25207,76.0,4.25,1
25208,61.0,2.75,1
25209,74.0,4.0,1
25210,55.0,1.75,0
25211,77.0,4.5,1
25213,89.0,4.0,1
25214,48.0,1.75,0
25215,75.0,4.25,1
25216,45.0,2.0,0
25225,44.0,3.0,0
25226,80.0,3.75,1
25227,52.0,1.75,0
25228,80.0,3.5,1
25229,42.0,1.75,0
25230,75.0,4.5,1
25231,51.0,2.0,0
25232,81.0,4.0,1
25233,44.0,1.75,0
25234,80.0,4.0,1
25235,54.0,1.75,0
25249,79.0,4.5,1
25250,63.0,1.75,0
25251,64.0,4.5,1
25252,67.0,4.0,1
25253,68.0,4.0,1
25254,81.0,4.0,1
25255,45.0,2.0,0
25256,88.0,4.5,1
25257,44.0,1.5,0
25258,73.0,4.5,1
25259,45.0,1.75,0
25266,47.0,2.5,0
25267,74.0,4.0,1
25268,66.0,3.5,1
25269,73.0,4.0,1
25270,47.0,2.0,0
25271,77.0,4.25,1
25272,51.0,2.25,0
25273,69.0,4.0,1
25274,77.0,4.0,1
25275,64.0,4.5,1
25276,53.0,2.25,0
25285,57.0,2.0,0
25286,73.0,4.0,1
25287,66.0,3.5,1
25288,68.0,4.0,1
25289,67.0,3.25,1
25290,49.0,2.0,0
25291,81.0,4.25,1
25292,49.0,2.0,0
25293,80.0,4.5,1
25294,48.0,2.0,0
25295,80.0,4.0,1
25307,44.0,2.25,0
25308,74.0,3.5,1
25309,42.0,1.75,0
25310,77.0,3.0,1
25311,50.0,2.75,0
25312,76.0,4.25,1
25313,42.0,1.75,0
25314,87.0,4.5,1
25315,40.0,1.75,0
25316,78.0,3.0,1
25317,48.0,2.25,0
25318,77.0,4.25,1
25319,52.0,1.75,0
25327,67.0,3.0,1
25328,53.0,2.0,0
25329,76.0,3.75,1
25330,47.0,1.75,0
25331,76.0,4.0,1
25332,55.0,1.5,0
25333,71.0,4.25,1
25334,47.0,2.0,0
25335,71.0,4.25,1
25336,47.0,2.0,0
25337,75.0,4.0,1
25345,48.0,2.0,0
25349,75.0,4.25,1
25350,50.0,2.0,0
25351,73.0,4.5,1
25352,65.0,2.0,0
25353,77.0,4.5,1
25354,45.0,1.75,0
25355,83.0,4.25,1
25347,73.0,3.75,1
25362,64.0,4.0,1
25363,68.0,3.0,1
25364,74.0,4.5,1
25365,45.0,2.0,0
25366,71.0,4.0,1
25367,64.0,3.5,1
25368,74.0,4.25,1
25369,47.0,2.5,0
25370,73.0,4.75,1
25371,60.0,2.5,0
25372,70.0,4.0,1
25384,72.0,4.25,1
25385,47.0,2.0,0
25386,76.0,4.5,1
25387,46.0,2.0,0
