Date,Geyser,time,duration,,,,,,,,,,
2/5/1979,Old Faithful,15:03,1:57,,,,,,,,,,
2/5/1979,Old Faithful,15:53,4:29,,,,,,,,,,
2/5/1979,Old Faithful,17:22,2:18,,,,,,,,,,
2/5/1979,Old Faithful,18:11,4:44,,,,,,,,,,
2/5/1979,Old Faithful,19:29,4:04,,,,,,,,,,
2/5/1979,Old Faithful,20:45,4:12,,,,,,,,,,
2/5/1979,Old Faithful,22:07,1:57,,,,,,,,,,
2/5/1979,Old Faithful,22:54,Long,,,,,,,,,,
2/6/1979,Old Faithful,8:31,4:09,,,,,,,,,,
2/6/1979,Old Faithful,9:52,3:55,,,,,,,,,,
2/6/1979,Old Faithful,11:07,2:26,,,,,,,,,,
2/6/1979,Old Faithful,11:57,4:00,,,,,,,,,,
2/6/1979,Old Faithful,13:26,3:44,,,,,,,,,,
2/6/1979,Old Faithful,14:44,1:53,,,,,,,,,,
2/6/1979,Old Faithful,15:39,4:31,,,,,,,,,,
2/6/1979,Old Faithful,16:56,2:05,,,,,,,,,,
2/6/1979,Old Faithful,17:54,4:32,,,,,,,,,,
2/6/1979,Old Faithful,19:19,4:19,,,,,,,,,,
2/6/1979,Old Faithful,20:26,Long,,,,,,,,,,
2/6/1979,Old Faithful,21:45,,,,,,,,,,,
2/7/1979,Old Faithful,8:00,4:46,,,,,,,,,,
2/7/1979,Old Faithful,9:33,1:50,,,,,,,,,,
2/7/1979,Old Faithful,10:28,4:10,,,,,,,,,,
2/7/1979,Old Faithful,11:57,1:53,,,,,,,,,,
2/7/1979,Old Faithful,12:49,4:45,,,,,,,,,,
2/7/1979,Old Faithful,14:11,3:48,,,,,,,,,,
2/7/1979,Old Faithful,15:32,4:13,,,,,,,,,,
2/7/1979,Old Faithful,16:45,3:45,,,,,,,,,,
2/7/1979,Old Faithful,18:07,4:21,,,,,,,,,,
2/7/1979,Old Faithful,19:25,4:35,,,,,,,,,,
2/7/1979,Old Faithful,20:45,1:57,,,,,,,,,,
2/7/1979,Old Faithful,21:38,4:44,,,,,,,,,,
2/8/1979,Old Faithful,7:59,3:41,,,,,,,,,,
2/8/1979,Old Faithful,9:25,,,,,,,,,,,
2/8/1979,Old Faithful,10:18,4:10,,,,,,,,,,
2/8/1979,Old Faithful,11:46,4:04,,,,,,,,,,
2/8/1979,Old Faithful,13:00,1:42,,,,,,,,,,
2/8/1979,Old Faithful,13:54,4:41,,,,,,,,,,
2/8/1979,Old Faithful,15:18,4:02,,,,,,,,,,
2/8/1979,Old Faithful,16:29,3:28,,,,,,,,,,
2/8/1979,Old Faithful,17:40,3:59,,,,,,,,,,
2/8/1979,Old Faithful,18:55,4:13,,,,,,,,,,
2/8/1979,Old Faithful,20:17,2:03,,,,,,,,,,
2/9/1979,Old Faithful,7:33,3:42,,,,,,,,,,
2/9/1979,Old Faithful,8:44,2:08,,,,,,,,,,
2/9/1979,Old Faithful,9:34,4:26,,,,,,,,,,
2/9/1979,Old Faithful,10:56,~2:45,,,,,,,,,,
2/9/1979,Old Faithful,12:00,4:23,,,,,,,,,,
2/9/1979,Old Faithful,13:22,4:15,,,,,,,,,,
2/9/1979,Old Faithful,14:37,4:13,,,,,,,,,,
2/9/1979,Old Faithful,15:50,3:30,,,,,,,,,,
2/9/1979,Old Faithful,16:59,4:14,,,,,,,,,,
2/9/1979,Old Faithful,18:19,~4:07,,,,,,,,,,
2/10/1979,Old Faithful,7:22,4:13,,,,,,,,,,
2/10/1979,Old Faithful,8:33,~4:00,,,,,,,,,,
2/10/1979,Old Faithful,9:53,4:22,,,,,,,,,,
2/10/1979,Old Faithful,11:11,1:55,,,,,,,,,,
2/10/1979,Old Faithful,11:58,~3:30,,,,,,,,,,
2/10/1979,Old Faithful,13:22,~2:00,,,,,,,,,,
2/10/1979,Old Faithful,14:13,4:30,,,,,,,,,,
2/10/1979,Old Faithful,15:42,1:53,,,,,,,,,,
2/10/1979,Old Faithful,16:30,5:06,,,,,,,,,,
2/10/1979,Old Faithful,18:00,1:58,,,,,,,,,,
2/11/1979,Old Faithful,7:41,~2:00,,,,,,,,,,
2/11/1979,Old Faithful,8:33,~4:10,,,,,,,,,,
2/11/1979,Old Faithful,9:48,3:53,,,,,,,,,,
2/11/1979,Old Faithful,11:00,~3:55,,,,,,,,,,
2/11/1979,Old Faithful,12:11,2:07,,,,,,,,,,
2/11/1979,Old Faithful,13:10,~3:55,,,,,,,,,,
2/11/1979,Old Faithful,14:25,,,,,,,,,,,
2/11/1979,Old Faithful,15:35,4:41,,,,,,,,,,
